"Business Name","Street Address","City","State","Zip","Phone","Email","Category","Town"
"ACAP (Aroostook County Action Program)","28 Court St","Houlton","ME","04730","(207) 532-4216","info@acap-me.org","Social Services","Houlton"
"Aroostook Milling Co. Inc.","15 Hillview Ave","Houlton","ME","04730","(207) 532-6130","","Agricultural Supply/Mill","Houlton"
"Aroostook Produce Dist.","3 Bangor St","Houlton","ME","04730","(207) 532-6886","","Produce Distribution","Houlton"
"Bangor Savings Bank","12 Main St","Houlton","ME","04730","(207) 532-2203","bangorsupport@bangor.com","Bank/Finance","Houlton"
"Bates Fuel","207 Bangor St","Houlton","ME","04730","(207) 532-3520","","Fuel/Heating Oil","Houlton"
"Buildings Etc.","45 North St","Houlton","ME","04730","(207) 538-9000","","Building Materials","Houlton"
"Cary Library","107 Main St","Houlton","ME","04730","(207) 532-1302","cary@cary.lib.me.us","Library","Houlton"
"Chadwick Florist & Greenhouses","23 Spring St","Houlton","ME","04730","(207) 532-3520","","Florist/Greenhouse","Houlton"
"Clark's Auto Sales","2136 Bangor Rd","Houlton","ME","04730","(207) 532-4009","","Auto Sales","Houlton"
"Cole's Shoe Store & Shoe Service Inc.","12 Kendall St","Houlton","ME","04730","(207) 532-2658","","Shoe Store/Repair","Houlton"
"County Co-op and Farm Store","53 Main St","Houlton","ME","04730","(207) 521-5284","","Farm Supply/Grocery","Houlton"
"County Federal Credit Union","14 Court St","Houlton","ME","04730","(207) 532-0443","","Credit Union","Houlton"
"County Micro, Inc","73 Main St","Houlton","ME","04730","(207) 532-0009","","Computer Services","Houlton"
"County Tractor of Houlton","224 North St","Houlton","ME","04730","(207) 532-9300","","Tractor/Equipment","Houlton"
"County Yankee Grocer","101 Military St","Houlton","ME","04730","(207) 532-6310","","Grocery Store","Houlton"
"Daigle Oil Co.","6 Norton Ln","Houlton","ME","04730","(207) 532-2281","info@daigleoil.com","Fuel/Heating Oil","Houlton"
"Davis, Gates & Alward CPA's","25 Main St","Houlton","ME","04730","(207) 532-2722","","Accounting","Houlton"
"Dead River Company","27 Bangor St","Houlton","ME","04730","(207) 532-3520","","Fuel/Energy","Houlton"
"Dunn Funeral Home","11 Park St","Houlton","ME","04730","(207) 532-7403","","Funeral Home","Houlton"
"Eastern Maine Electric Co-op","133 Main St","Houlton","ME","04730","(207) 532-9821","","Electric Utility","Houlton"
"F.A. Peabody","1 Peabody Ave","Houlton","ME","04730","(207) 532-2211","","Insurance/Real Estate","Houlton"
"First Choice Realty","108 Main St","Houlton","ME","04730","(207) 532-4037","","Real Estate","Houlton"
"Gates Accounting","28 Court St","Houlton","ME","04730","(207) 532-6686","","Accounting","Houlton"
"Greater Houlton Christian Academy","19 Green St","Houlton","ME","04730","(207) 532-7676","office@ghca.com","Private School","Houlton"
"Greg's Garage","151 North St","Houlton","ME","04730","(207) 694-0505","","Auto Repair","Houlton"
"Hannaford Supermarket","121 North St","Houlton","ME","04730","(207) 532-0665","","Grocery Store","Houlton"
"Harbison Plumbing & Heating","22 Court St","Houlton","ME","04730","(207) 532-3939","","Plumbing/Heating","Houlton"
"Hatfield Realty Service, Inc.","72 Main St","Houlton","ME","04730","(207) 532-3500","","Real Estate","Houlton"
"Hidden Spring Winery","1057 White Settlement Rd","East Hodgdon/Houlton","ME","04730","(207) 532-0753","","Winery","Houlton"
"Hogan Tire","45 Bangor St","Houlton","ME","04730","(207) 532-9501","","Tire Sales/Service","Houlton"
"Houlton Community Golf Club","32 Country Club Dr","Houlton","ME","04730","(207) 532-2662","","Golf Course","Houlton"
"Houlton Farms Dairy","125 Military St","Houlton","ME","04730","(207) 532-8027","","Dairy/Retail","Houlton"
"Houlton Regional Hospital","20 Hartford St","Houlton","ME","04730","(207) 532-2900","info@houltonregional.org","Hospital","Houlton"
"Houlton Water Company","21 Bangor St","Houlton","ME","04730","(207) 532-2259","","Utility","Houlton"
"Ivey's Motor Lodge","282 North St","Houlton","ME","04730","(207) 532-4431","","Motel","Houlton"
"Katahdin Trust Co.","20 Katahdin Ln","Houlton","ME","04730","(207) 532-2241","","Bank/Finance","Houlton"
"Lincoln Agency LLC","44 Main St","Houlton","ME","04730","(207) 532-9222","","Insurance","Houlton"
"Louisiana Pacific","12 Mill Rd","Houlton","ME","04730","(207) 532-9300","","Manufacturing","Houlton"
"Machias Savings Bank","138 North St","Houlton","ME","04730","(207) 532-7894","","Bank/Finance","Houlton"
"Main Street Fitness Inc","58 Main St","Houlton","ME","04730","(207) 532-2300","","Fitness Center","Houlton"
"Marden's","137 North St","Houlton","ME","04730","(207) 532-5700","","Discount Retail","Houlton"
"Market Square Housing/CC Realty Mgmt","6 Powers Ave","Houlton","ME","04730","(207) 532-9107","","Property Management","Houlton"
"Mooers Realty","14 Kendall St","Houlton","ME","04730","(207) 532-7900","","Real Estate","Houlton"
"NAPA/Coastal Auto Parts","19 Bangor St","Houlton","ME","04730","(207) 532-3871","","Auto Parts","Houlton"
"Pioneer Broadband","34 Military St","Houlton","ME","04730","(866) 335-1254","","Internet/Telecom","Houlton"
"Priority Auto Sales","63 North St","Houlton","ME","04730","(207) 532-7422","","Auto Sales","Houlton"
"Putnam House","14 Green St","Houlton","ME","04730","(207) 532-2442","","Senior Center","Houlton"
"S.W. Collins","168 North St","Houlton","ME","04730","(207) 532-0864","","Building Materials","Houlton"
"Sage Financial","15 Kendall St","Houlton","ME","04730","(207) 532-0880","","Financial Services","Houlton"
"Sherwin Williams","180 North St","Houlton","ME","04730","(207) 532-4600","","Paint/Hardware","Houlton"
"Shiretown Inn and Suites","282 North St","Houlton","ME","04730","(207) 532-4431","","Hotel/Motel","Houlton"
"Shiretown Stove & Outdoor Living","20 Court St","Houlton","ME","04730","(207) 538-8899","","Stoves/Outdoor","Houlton"
"Sloat's Machining & Fabrication","22 Airport Dr","Houlton","ME","04730","(207) 532-9271","","Machining/Fabrication","Houlton"
