"Business Name","Street Address","City","State","Zip","Phone","Email","Category","Town"
"Hannaford Supermarket","22 Goding Ave","Lincoln","ME","04457","207-794-6122","","Grocery Store","Lincoln"
"Steaks N' Stuff Market & Deli","14 Mechanic St","Lincoln","ME","04457","207-794-6404","","Grocery/Deli","Lincoln"
"Walmart Supercenter","250 W Broadway","Lincoln","ME","04457","207-794-8436","","Department Store/Grocery","Lincoln"
"Marden's Surplus & Salvage","28 Main St","Lincoln","ME","04457","207-794-2013","","Discount Retail","Lincoln"
"Dollar Tree","283 W Broadway","Lincoln","ME","04457","207-559-6000","","Discount Store","Lincoln"
"Earth's Bounty Natural Foods","57 Fleming St","Lincoln","ME","04457","207-794-8266","","Health Food Store","Lincoln"
"Heart of Maine Winery","27 School St","Lincoln","ME","04457","207-944-0159","","Winery","Lincoln"
"S.W. Collins Co (DoItBest)","302 W Broadway","Lincoln","ME","04457","207-794-6113","","Hardware/Home Center","Lincoln"
"True Value","51 Main St","Lincoln","ME","04457","207-794-8111","","Hardware Store","Lincoln"
"Pelletier Ford of Lincoln","74 Main St","Lincoln","ME","04457","207-794-6522","","Auto Dealer","Lincoln"
"Gill's Point S Tire & Auto","249 W Broadway","Lincoln","ME","04457","207-794-3329","","Tire/Auto Repair","Lincoln"
"Coastal Auto Parts","282 W Broadway","Lincoln","ME","04457","207-664-0193","","Auto Parts","Lincoln"
"Carl's Auto Parts","7 Taylor St","Lincoln","ME","04457","207-794-6778","","Auto Parts","Lincoln"
"Dubay Auto Parts (NAPA)","282 W Broadway","Lincoln","ME","04457","207-794-3329","","Auto Parts","Lincoln"
"Town Line Auto Sales","1645 Lee Rd","Lincoln","ME","04457","207-738-4720","","Used Cars","Lincoln"
"Auto B Washed Wright","199 W Broadway","Lincoln","ME","04457","207-794-2709","","Car Wash","Lincoln"
"Doc's Place","130 Main St","Lincoln","ME","04457","207-794-2551","","Gas Station","Lincoln"
"Gatherings for the Home","47 Main St","Lincoln","ME","04457","207-794-3883","","Gift Shop/Home Decor","Lincoln"
"Simple Sentiments","47 Main St","Lincoln","ME","04457","207-290-1172","","Gift Shop","Lincoln"
"Possibilities Gift & Home","49 Main St","Lincoln","ME","04457","207-794-1000","","Gift Shop","Lincoln"
"Blazin' Trailz","90 River Rd","Lincoln","ME","04457","207-403-9151","","Retail","Lincoln"
"McSea Books","3 Fleming St","Lincoln","ME","04457","207-403-9002","","Bookstore","Lincoln"
"Cigaret Shopper","36 W Broadway","Lincoln","ME","04457","207-794-3801","","Tobacco Shop","Lincoln"
"Select Design & Embroidery","114 Enfield Rd","Lincoln","ME","04457","207-794-8139","","Embroidery/Custom Apparel","Lincoln"
"High Performance Hair & Tanning","40 Main St","Lincoln","ME","04457","207-794-8119","","Salon","Lincoln"
"Main Street Barber Shop","15 Main St","Lincoln","ME","04457","207-794-8005","","Barber","Lincoln"
"Tangles Hair Studio","120 W Broadway","Lincoln","ME","04457","207-794-8700","","Salon","Lincoln"
"Village Dry Cleaners","150 W Broadway","Lincoln","ME","04457","207-794-2004","","Dry Cleaner","Lincoln"
"Bangor Savings Bank","4 Prospect Ave","Lincoln","ME","04457","207-794-6765","","Bank","Lincoln"
"Lincoln Maine Federal Credit Union","171 W Broadway","Lincoln","ME","04457","207-794-8623","","Credit Union","Lincoln"
"Machias Savings Bank","6 Penobscot Ave","Lincoln","ME","04457","207-561-2786","","Bank","Lincoln"
"KeyBank","107 W Broadway","Lincoln","ME","04457","207-794-3381","","Bank","Lincoln"
"H&R Block","21 Lee Rd","Lincoln","ME","04457","207-794-8200","","Tax Services","Lincoln"
"Barker Business Services","29 Lee Rd","Lincoln","ME","04457","207-794-8563","taxman2@barkertax.com","Accounting/Payroll","Lincoln"
"F.A. Peabody Insurance","150 W Broadway #1","Lincoln","ME","04457","207-794-8297","","Insurance","Lincoln"
"Penobscot Valley Hospital","7 Transalpine Rd","Lincoln","ME","04457","207-794-7189","","Hospital","Lincoln"
"Health Access Network / Boreas Family Medicine","252 Enfield Rd","Lincoln","ME","04457","207-794-3085","","Healthcare","Lincoln"
"Lincoln Smiles Dentistry","97 Lee Rd","Lincoln","ME","04457","207-794-6896","","Dentist","Lincoln"
"Lincoln Regional Veterinary Hospital","10 Prospect Ave","Lincoln","ME","04457","207-794-2706","","Veterinarian","Lincoln"
"Colonial Healthcare Assisted Living","36 Workman Terrace St","Lincoln","ME","04457","207-794-6534","","Assisted Living","Lincoln"
"Northern Pines Care Estates","74 Taylor St","Lincoln","ME","04457","207-794-6086","","Assisted Living","Lincoln"
"Save A Life","19 VFW St","Lincoln","ME","04457","207-403-9100","","Nonprofit Health","Lincoln"
"Freedom Fitness","10 Taylor St","Lincoln","ME","04457","207-403-9051","","Gym","Lincoln"
"Dawson's Family Fitness","323 Main St","Lincoln","ME","04457","207-794-3083","","Gym","Lincoln"
"Acres Away Realty","309 W Broadway","Lincoln","ME","04457","207-794-2700","","Real Estate","Lincoln"
"United Country Lifestyle Properties of Maine","113 W Broadway","Lincoln","ME","04457","207-794-6164","","Real Estate","Lincoln"
"Dead River Company","106 W Broadway","Lincoln","ME","04457","207-794-6596","","Heating Oil/Propane","Lincoln"
"R.H. Foster Energy","119 Main St","Lincoln","ME","04457","207-794-8300","info@rhfoster.com","Heating Oil/Propane","Lincoln"
"Lincoln News","78 W Broadway","Lincoln","ME","04457","207-794-6532","","Newspaper","Lincoln"
"Briarwood Motor Inn","223 W Broadway","Lincoln","ME","04457","207-794-6731","","Motel","Lincoln"
"Eagle Lodge","600 Folsom Pond Rd","Lincoln","ME","04457","207-794-2181","","Lodging","Lincoln"
"Penobscot Valley Humane Society","1 Park Ave","Lincoln","ME","04457","207-794-3457","","Animal Shelter","Lincoln"
"Why Not Stop","297 W Broadway","Lincoln","ME","04457","207-794-3070","","Convenience Store/Gas","Lincoln"
"Aunnie Ashley's Variety","663 W Broadway","Lincoln","ME","04457","207-794-8422","","Convenience Store","Lincoln"
"Big Apple Store","34 Fleming St","Lincoln","ME","04457","207-794-6818","","Convenience Store/Gas","Lincoln"
"Clay Funeral Home","3 Lee Rd","Lincoln","ME","04457","207-794-6801","","Funeral Home","Lincoln"
"Lincoln Regional Food Cupboard & Thrift Store","32 Park Ave","Lincoln","ME","04457","207-403-9007","","Thrift Store","Lincoln"
"Town of Lincoln","29 Main St","Lincoln","ME","04457","207-794-3372","","Municipal","Lincoln"
"Patriot Consulting LLC","129 W Old Main Rd","Lowell","ME","04493","207-902-0179","","Consulting","Lowell"
"95-ER Market","64 Lagrange Rd","Howland","ME","04448","207-732-4200","","Convenience Store","Howland"
"Howland-Enfield Federal Credit Union","20 Billings Ln","Howland","ME","04448","207-732-4560","","Credit Union","Howland"
"Bangor Savings Bank","72 Billings Ln","Howland","ME","04448","207-732-3033","","Bank","Howland"
"King's Rentals & Self Storage","141 Bennoch Rd","Howland","ME","04448","207-732-3731","","Storage/Rental","Howland"
"Bartlett Bench & Wire","67 Lagrange Rd","Howland","ME","04448","207-613-2974","","Commercial Benching","Howland"
"House of Crafts & Flowers","10 Water St","Howland","ME","04448","207-732-4685","","Crafts/Florist","Howland"
"Hammond Lumber Company","7 Industrial Dr","Enfield","ME","04493","207-732-3351","","Building Materials","Enfield"
"Pleasant River Lumber Company","12 Pleasant River Rd","Enfield","ME","04493","207-403-1507","","Lumber","Enfield"
"Dollar General","10 Hammett Rd","Enfield","ME","04493","207-732-1902","","Discount Store","Enfield"
"Chip's Citgo","1188 Main Rd","Enfield","ME","04493","207-732-5434","","Gas Station/Convenience","Enfield"
"Barnes Brook Golf Course","1886 Main Rd","Enfield","ME","04493","207-732-3006","","Golf Course","Enfield"
"South Branch Concrete Company","280 South Branch Rd","Enfield","ME","04493","207-290-1817","","Concrete","Enfield"
"Northwoods Sporting Journal","15 Birch St","Enfield","ME","04493","207-732-4880","","Magazine/Publishing","Enfield"
"Savage Line LLC","22 Savage Rd","Enfield","ME","04493","207-732-3616","","Trucking","Enfield"
"Pine Tree Pet Supply","10 Old County Rd N","Enfield","ME","04493","207-732-5374","","Pet Supply","Enfield"
"Enfield General Store","1238 Main Rd","Enfield","ME","04493","207-732-4600","","General Store","Enfield"
"Penobscot County Federal Credit Union","325 Main Rd","Enfield","ME","04493","207-732-4560","","Credit Union","Enfield"
"Pelletiers Greenhouse","50 Greenhouse Rd","Enfield","ME","04493","(207) 732-3907","","Greenhouse/Nursery","Enfield"
"C&I Custom Builders","27 Lincoln Rd","Enfield","ME","04493","207-732-3792","","Construction","Enfield"
"Cold Stream Lumber","70 W Boundry Rd","Enfield","ME","04493","207-732-4020","","Lumber","Enfield"
"Penobscot River Realty","45 Hammett Rd","Enfield","ME","04493","207-732-5385","","Real Estate","Enfield"
"R.N. French Real Estate","9 French Rd","Enfield","ME","04493","207-732-3977","","Real Estate","Enfield"
"Thompson's Hardware Inc","1347 Main Rd","Enfield","ME","04493","207-732-4605","","Hardware Store","Enfield"
"Burlington General Store","37 Main Rd","Burlington","ME","04417","207-732-4259","","General Store","Burlington"
"Ashley Cunningham & Co Furniture","344 Long Ridge Rd","Burlington","ME","04417","207-794-3091","","Furniture","Burlington"
"Maine Gas Refrigerators","277 Sibley Rd","Burlington","ME","04417","207-732-4119","","Appliances","Burlington"
"Banks Electric","25 Church Hill Rd","Burlington","ME","04417","207-732-5619","","Electrical Contractor","Burlington"
"J M Kilby Engineering","35 Moores Rd","Burlington","ME","04417","207-732-5404","","Engineering","Burlington"
"DuBois Lawn & Landscape","153 James Jipson Rd","Burlington","ME","04417","501-538-3788","","Landscaping","Burlington"
"Chester Forest Products","Route 116","Chester","ME","04457","207-794-3047","","Forestry","Chester"
"The Maine Land Store / Treeline","35 Access Rd","Chester","ME","04457","207-794-2044","","Real Estate/Land Sales","Chester"
"H.C. Haynes Inc","40 Route 168","Winn","ME","04495","207-736-3412","","Forestry/Lumber","Winn"
"Salmon Brook Grooming","444 Military Rd","Winn","ME","04495","207-736-2969","","Dog Grooming","Winn"
