"Business Name","Street Address","City","State","Zip","Phone","Email","Category","Town"
"100 Mile Wilderness Inn","96 Oxford St","Millinocket","ME","04462","207-731-3537","","Lodging","Millinocket"
"Advance Auto Parts","21 Sycamore St","Millinocket","ME","04462","207-723-2010","","Auto Parts","Millinocket"
"Angelos Pizza Grille","118 Penobscot Ave","Millinocket","ME","04462","207-723-6767","","Restaurant","Millinocket"
"Appalachian Trail Cafe","210 Penobscot Ave","Millinocket","ME","04462","207-723-6720","","Restaurant","Millinocket"
"Appalachian Trail Lodge","33 Penobscot Ave","Millinocket","ME","04462","207-723-4321","","Hotel","Millinocket"
"Bangor Savings Bank","96 Central St","Millinocket","ME","04462","207-746-3770","","Bank","Millinocket"
"Baxter Park Inn","935 Central St","Millinocket","ME","04462","207-723-9777","","Hotel","Millinocket"
"Blue Ox Saloon","61 Penobscot Ave","Millinocket","ME","04462","207-723-6936","","Restaurant","Millinocket"
"Bragdon Energy Svc","238 Penobscot Ave","Millinocket","ME","04462","207-723-4297","","Fuel","Millinocket"
"Campbells Service Ctr","255 Aroostook Ave","Millinocket","ME","04462","207-723-6330","","Auto Repair","Millinocket"
"Circle K / Dunkin'","719 Central St","Millinocket","ME","04462","207-723-6124","","Convenience Store","Millinocket"
"Corner Car Wash","10 Cedar St","Millinocket","ME","04462","207-723-9312","","Car Wash","Millinocket"
"Dave's Garage","28 Somerset St","Millinocket","ME","04462","207-723-5240","","Auto Repair","Millinocket"
"Dead River Co","795 Central St","Millinocket","ME","04462","207-723-5151","","Fuel","Millinocket"
"Designlab","135 Penobscot Ave","Millinocket","ME","04462","207-723-9988","","Design/Marketing","Millinocket"
"Don Howard Insurance","70 Spring St","Millinocket","ME","04462","207-723-9456","","Insurance","Millinocket"
"Dunkin' Donuts","719 Central St","Millinocket","ME","04462","207-723-8749","","Restaurant","Millinocket"
"Family Dollar Store","781 Central St","Millinocket","ME","04462","207-723-8013","","Discount Store","Millinocket"
"Gather Inn","193 Central St","Millinocket","ME","04462","207-400-0194","","Bed & Breakfast","Millinocket"
"Gracies Aunts Closet","555 Central St","Millinocket","ME","04462","207-723-6006","","Consignment","Millinocket"
"H&R Block","20 Balsam Dr","Millinocket","ME","04462","207-723-4818","","Tax Services","Millinocket"
"Hair Razor","234 Penobscot Ave #B","Millinocket","ME","04462","207-723-5115","","Beauty Salon","Millinocket"
"Hang Wong Restaurant","973 Central St","Millinocket","ME","04462","207-723-6084","","Restaurant","Millinocket"
"Hannaford Supermarket & Pharmacy","843 Central St","Millinocket","ME","04462","207-723-8047","","Grocery/Pharmacy","Millinocket"
"Hillcrest Golf Club","1 Golf Course Rd","Millinocket","ME","04462","207-723-8410","","Golf","Millinocket"
"Hotel Terrace & Restaurant","52 Medway Rd","Millinocket","ME","04462","207-723-4545","","Hotel/Restaurant","Millinocket"
"Ice Fish Inn","177 Central St","Millinocket","ME","04462","207-723-9999","","Hotel","Millinocket"
"Jandreau's Greenhouse","200 Iron Bridge Rd","Millinocket","ME","04462","207-723-6332","","Greenhouse","Millinocket"
"John & Sons Towing","341 Katahdin Ave","Millinocket","ME","04462","207-723-8586","","Towing","Millinocket"
"John's Auto","3 Beech St","Millinocket","ME","04462","207-723-5481","","Auto Repair","Millinocket"
"K & M Motors","115 Central St","Millinocket","ME","04462","207-723-5113","","Auto Repair","Millinocket"
"Katahdin Chamber of Commerce","1029 Central St","Millinocket","ME","04462","207-723-4443","","Chamber of Commerce","Millinocket"
"Katahdin Federal Credit Union","1000 Central St","Millinocket","ME","04462","207-723-9718","","Credit Union","Millinocket"
"Katahdin General Store","160 Bates St","Millinocket","ME","04462","207-723-4123","","General Store","Millinocket"
"Katahdin Inn & Suites","740 Central St","Millinocket","ME","04462","207-723-4555","","Hotel","Millinocket"
"Katahdin Motors Chevrolet Cadillac","991 Central St","Millinocket","ME","04462","207-723-5154","","Auto Dealer","Millinocket"
"Katahdin Valley Health Center","50 Summer St","Millinocket","ME","04462","207-723-6536","","Dental","Millinocket"
"Katahdin Valley Health Center","180 Aroostook Ave","Millinocket","ME","04462","207-528-2285","","Health Center","Millinocket"
"Knife Edge Trading Post","10 Balsam Dr","Millinocket","ME","04462","207-723-6800","","Sporting Goods","Millinocket"
"Lamson Funeral Home","11 Tamarack St","Millinocket","ME","04462","207-723-4000","","Funeral Home","Millinocket"
"Lankhorst Chiropractic","41 Penobscot Ave #2","Millinocket","ME","04462","207-723-9468","","Chiropractic","Millinocket"
