"Business Name","Street Address","City","State","Zip","Phone","Email","Category","Town"
"Graves' Shop 'n Save","797 Main St","Presque Isle","ME","04769","(207) 769-2181","","Grocery Store","Presque Isle"
"Star City IGA","247 Main St","Presque Isle","ME","04769","(207) 762-5151","","Grocery Store","Presque Isle"
"Save A Lot","76 Parsons St","Presque Isle","ME","04769","207-760-9003","","Grocery Store","Presque Isle"
"Walmart Supercenter","781 Main St","Presque Isle","ME","04769","(207) 764-8485","","Grocery Store","Presque Isle"
"Lowe's Home Improvement","135 Maysville St","Presque Isle","ME","04769","(207) 554-3030","","Hardware Store","Presque Isle"
"S.W. Collins Co.","21 Rice St","Presque Isle","ME","04769","(207) 764-2720","","Hardware Store","Presque Isle"
"Rathbun Lumber Company","43 State St","Presque Isle","ME","04769","(207) 764-4444","","Hardware Store","Presque Isle"
"Ace Hardware - Maine Potato Growers Inc","56 Parsons St","Presque Isle","ME","04769","(207) 764-2471","","Hardware Store","Presque Isle"
"Aroostook Door & Window","56 State St","Presque Isle","ME","04769","207-760-8152","","Building Supply","Presque Isle"
"Overhead Door Co of Presque Isle","1150 Central Dr","Presque Isle","ME","04769","207-554-9044","","Building Supply","Presque Isle"
"The County Glass Shop","34 Industrial St","Presque Isle","ME","04769","207-764-0657","","Glass","Presque Isle"
"The Kitchen & Bath Shop LLC","2 Reach Rd","Presque Isle","ME","04769","207-769-9990","","Kitchen & Bath","Presque Isle"
"Pine Village Inc","322 Washburn Rd","Presque Isle","ME","04769","207-764-1674","","Building Supply","Presque Isle"
"TD Bank","680 Main St","Presque Isle","ME","04769","(207) 764-3791","","Bank","Presque Isle"
"KeyBank","774 Main St","Presque Isle","ME","04769","(207) 764-3151","","Bank","Presque Isle"
"Machias Savings Bank","9 Dyer St","Presque Isle","ME","04769","(207) 768-3222","","Bank","Presque Isle"
"Katahdin Trust Company","6 North St","Presque Isle","ME","04769","","","Bank","Presque Isle"
"Norstate Federal Credit Union","738 Main St","Presque Isle","ME","04769","(207) 762-3811","","Credit Union","Presque Isle"
"Aroostook County Federal Savings and Loan","364 Main St","Presque Isle","ME","04769","207-764-6591","","Bank","Presque Isle"
"Bangor Savings Bank","Presque Isle","Presque Isle","ME","04769","","","Bank","Presque Isle"
"Northern Light AR Gould Hospital","140 Academy St","Presque Isle","ME","04769","(207) 768-4000","","Hospital","Presque Isle"
"Presque Isle Rehab and Nursing Center","162 Academy St","Presque Isle","ME","04769","(207) 764-0145","","Healthcare","Presque Isle"
"Griffeth Honda","130 Main St","Presque Isle","ME","04769","(207) 769-2761","","Auto Dealer","Presque Isle"
"Carroll's Auto Sales (Chevrolet/GMC)","280 Main St","Presque Isle","ME","04769","(888) 597-2531","","Auto Dealer","Presque Isle"
"Percy's Auto Sales Inc (Chrysler/Dodge/Jeep/Ram)","40 Houlton Rd","Presque Isle","ME","04769","(207) 764-4493","","Auto Dealer","Presque Isle"
"North Country Auto","792 Main St","Presque Isle","ME","04769","(207) 762-6222","","Auto Dealer","Presque Isle"
"Northern Maine Motors","96 State St","Presque Isle","ME","04769","(207) 540-6050","","Auto Dealer","Presque Isle"
"Presque Isle Hotel","116 Main St","Presque Isle","ME","04769","(207) 764-6504","","Hotel","Presque Isle"
"The Northeastland Hotel","436 Main St","Presque Isle","ME","04769","(207) 768-5321","","Hotel","Presque Isle"
"Hampton Inn Presque Isle","768 Main St","Presque Isle","ME","04769","","","Hotel","Presque Isle"
"SureStay By Best Western Presque Isle","71 Main St","Presque Isle","ME","04769","","","Hotel","Presque Isle"
"Northern Lights Motel","72 Houlton Rd","Presque Isle","ME","04769","","","Motel","Presque Isle"
"Presque Isle Inn and Convention Center","116 Main St","Presque Isle","ME","04769","","","Hotel","Presque Isle"
"Walmart Pharmacy","781 Main St","Presque Isle","ME","04769","(207) 764-6935","","Pharmacy","Presque Isle"
"Walgreens","320 Main St","Presque Isle","ME","04769","(207) 764-5221","","Pharmacy","Presque Isle"
"Presque Isle Pharmacy","797 Main St","Presque Isle","ME","04769","(207) 760-9100","","Pharmacy","Presque Isle"
"City Drug Store","159 Academy St","Presque Isle","ME","04769","(207) 764-4424","","Pharmacy","Presque Isle"
"Advance Auto Parts","634 Main St","Presque Isle","ME","04769","","","Auto Parts","Presque Isle"
"NAPA Auto Parts - Coastal Auto Parts","611 Main St","Presque Isle","ME","04769","","","Auto Parts","Presque Isle"
"AutoZone","805 Main St","Presque Isle","ME","04769","","","Auto Parts","Presque Isle"
