Business Name,Street Address,City,State,Zip,Phone,Category
Hannaford Supermarket & Pharmacy,114 High St,Caribou,ME,04736,(207) 498-8824,Grocery
Sleeper's Market,99 Lyndon St,Caribou,ME,04736,(207) 498-8181,Grocery
Save-A-Lot,42 Skyway Dr,Caribou,ME,04736,(207) 498-2600,Grocery
S.W. Collins Co.,6 Washburn St,Caribou,ME,04736,(207) 496-6723,Hardware
Haney's Building Specialties,236 Van Buren Rd,Caribou,ME,04736,(207) 492-1323,Building Supplies
Plourde Furniture Co.,150 Bennett Dr,Caribou,ME,04736,(207) 496-3521,Furniture
Gagnon's Auto & RV Sales Inc.,500 Main St,Caribou,ME,04736,(888) 621-8937,Auto Dealer
Griffeth Ford,16 Access Hwy,Caribou,ME,04736,(888) 426-6143,Auto Dealer
Advance Auto Parts,3 Armco Ave,Caribou,ME,04736,(207) 492-0027,Auto Parts
CARQUEST Auto Parts,3 Armco Ave,Caribou,ME,04736,(207) 498-6573,Auto Parts
Highway Tire Inc.,470 Main St,Caribou,ME,04736,(207) 496-5843,Auto Tires
Gills Point S Tire & Auto,84 Water St,Caribou,ME,04736,(207) 492-1500,Auto Repair
Beaulieu's Garage & Body Shop,490 Main St,Caribou,ME,04736,(207) 492-2471,Auto Repair
Caribou Automotive Repair Services,13 Laurette St,Caribou,ME,04736,(207) 498-4141,Auto Repair
Leo & Sons CITGO,521 Main St,Caribou,ME,04736,(207) 498-3425,Gas Station & Auto Repair
CITGO,89 Bennett Dr,Caribou,ME,04736,(207) 498-2417,Gas Station
Circle K / Irving Oil,35 Bennett Dr,Caribou,ME,04736,(207) 498-6474,Gas Station
Mobil / On the Run,117 Bennett Dr,Caribou,ME,04736,(207) 498-3655,Gas Station
On the Run,1117 Bennett Dr,Caribou,ME,04736,(207) 498-3655,Gas Station
Shell,669 Main St,Caribou,ME,04736,,Gas Station
Northeastern Supply Co,441 Main St,Caribou,ME,04736,,Gas Station
Dodo's Market,,Caribou,ME,04736,,Convenience Store
Mike's Quik Stop & Deli,907 Presque Isle Rd,Caribou,ME,04736,(207) 498-3790,Convenience Store
Cary Medical Center,163 Van Buren Rd,Caribou,ME,04736,(207) 498-3111,Hospital
Pines Health Services - Caribou Health Center,74 Access Highway,Caribou,ME,04736,(207) 498-2356,Healthcare
Northern Light Primary Care - Caribou,118 Bennett Dr Suite 130,Caribou,ME,04736,(207) 498-3476,Healthcare
Northern Light Walk-In Care - Caribou,118 Bennett Dr,Caribou,ME,04736,(207) 498-3502,Healthcare
Caribou Rehab & Nursing Center,10 Bernadette St,Caribou,ME,04736,(207) 498-3102,Healthcare
Maine Veterans' Homes - Caribou,163 Van Buren Rd Suite 2,Caribou,ME,04736,(207) 498-6074,Healthcare
Valley Home Health Services,658 Main St Ste 2,Caribou,ME,04736,(207) 492-1149,Healthcare
Northern Maine Dental,14 Access Highway Suite 4,Caribou,ME,04736,(207) 492-9521,Dental
Pines Dental,163 Van Buren Rd,Caribou,ME,04736,(207) 498-1314,Dental
Family Dental Care Caribou,1 Birdseye Ave,Caribou,ME,04736,(207) 492-4841,Dental
Caribou Eye Care P.A.,43 Hatch Dr Suite 150,Caribou,ME,04736,(207) 498-2538,Optometry
North Country Animal Hospital,156 Main St,Caribou,ME,04736,(207) 492-4651,Veterinary
Caribou Veterinary Clinic,31 Herschel St,Caribou,ME,04736,(207) 498-3873,Veterinary
Rite Aid / Walgreens Pharmacy,112 Bennett Dr,Caribou,ME,04736,(207) 498-8735,Pharmacy
Best Western Caribou Inn,19 Main St,Caribou,ME,04736,(207) 498-3733,Hotel
McDonald's,127 Bennett Dr,Caribou,ME,04736,(207) 498-2181,Restaurant
Burger King,162 Bennett Dr,Caribou,ME,04736,(207) 498-3500,Restaurant
Subway,137 Bennett Dr,Caribou,ME,04736,(207) 493-4520,Restaurant
Tim Hortons,109 Bennett Dr,Caribou,ME,04736,(207) 493-7009,Restaurant
Dunkin',43 Bennett Dr,Caribou,ME,04736,(207) 498-2032,Restaurant
Jade Palace Restaurant,30 Skyway Dr,Caribou,ME,04736,(207) 498-3648,Restaurant
Big Cheese Pizza,556 Main St,Caribou,ME,04736,(207) 493-3030,Restaurant
Frederick's Southside Restaurant,507 Main St,Caribou,ME,04736,(207) 498-3464,Restaurant
Caribou Bowl-A-Drome,97 Bennett Dr,Caribou,ME,04736,(207) 498-3386,Restaurant & Bowling
Par & Grill,118 Bennett Dr,Caribou,ME,04736,,Restaurant
Northern Maine Brewing Company,22 Main St,Caribou,ME,04736,,Brewery
Reno's Family Restaurant,,Caribou,ME,04736,,Restaurant
Sizzle & Slice Restaurant / Bar,30 Skyway Dr Unit 300,Caribou,ME,04736,(207) 496-3400,Restaurant
Pizza Hut,149 Bennett Dr,Caribou,ME,04736,(207) 498-8523,Restaurant
Rossignol Performance & Fitness,30 Skyway Dr Unit 400,Caribou,ME,04736,,Gym
Caribou Country Club,723 Sweden St,Caribou,ME,04736,(207) 493-3933,Golf
Machias Savings Bank,142 Bennett Dr,Caribou,ME,04736,(207) 498-6014,Bank
Aroostook Savings & Loan,,Caribou,ME,04736,,Bank
Sean Duplessie - State Farm Insurance,15 Sweden St Suite 2,Caribou,ME,04736,(207) 493-3252,Insurance
Noyes Flower & Plant Shoppe,11 Franklin St,Caribou,ME,04736,(207) 498-2296, Florist
Wreaths by Natalie,998 Presque Isle Rd,Caribou,ME,04736,(207) 496-0831, Gifts
Brambleberry Market,25 Sweden St,Caribou,ME,04736,(207) 498-8000,Gift Shop
Gifts Galore,159 Bennett Dr,Caribou,ME,04736,(207) 492-2394,Gift Shop
Monica's Scandinavian Imports,176 Sweden St,Caribou,ME,04736,(207) 493-4600,Gift Shop
County Sports Inc.,285 Sweden St,Caribou,ME,04736,(207) 492-6072,Sporting Goods
The Caribou Theater,66 Sweden St,Caribou,ME,04736,(207) 493-3013,Theater
Affordable Finds,82 Herschel St,Caribou,ME,04736,,Thrift Shop
The Cubby Thriftstore,40 Sweden St,Caribou,ME,04736,(207) 760-7070,Thrift Shop
Dollar General,88 Sweden St,Caribou,ME,04736,(207) 401-5223,Retail
Dollar Tree,124 Bennett Dr,Caribou,ME,04736,(207) 498-2010,Retail
Family Dollar,30-42 Skyway Dr,Caribou,ME,04736,(207) 760-4219,Retail
Sherwin-Williams Paint Store,118 Bennett Dr #180,Caribou,ME,04736,(207) 493-3150,Paint
Priority Tractor & Equipment,323 Sweden St,Caribou,ME,04736,(207) 498-2549,Equipment
Clukey's Parts & Equipment,118 Bennett Dr,Caribou,ME,04736,(207) 498-2707,Equipment
Northern Maine General,21 Aldrich Dr,Caribou,ME,04736,(207) 492-1036,Retail
Ruska Coffee Company,98 Sweden St,Caribou,ME,04736,(207) 493-1616,Coffee Shop
Works Of Heart,124 Bennett Dr #3,Caribou,ME,04736,(207) 492-0860,Retail
Optix,137 Bennett Dr,Caribou,ME,04736,(207) 493-3329,Retail
Caribou Parks & Recreation Department,55 Bennett Dr,Caribou,ME,04736,(207) 493-4224,Government
Caribou Public Library,30 High St,Caribou,ME,04736,(207) 493-4214,Library
US Post Office - Caribou,41 Sweden St,Caribou,ME,04736,,Government
Todd Collins Attorney,144 Sweden St,Caribou,ME,04736,(207) 498-2557,Legal
Heidi Silver Attorney,14 Access Hwy,Caribou,ME,04736,(207) 496-3792,Legal
Neale Adams Attorney,144 Sweden St,Caribou,ME,04736,(207) 498-2557,Legal
Thomas Pelletier Attorney,43 Hatch Dr,Caribou,ME,04736,(207) 498-6428,Legal
Matthew Hunter Attorney,303 Sweden St,Caribou,ME,04736,(207) 492-2138,Legal
David Soucy Attorney,144 Sweden St,Caribou,ME,04736,(207) 493-3144,Legal
Richard Solman Attorney,709 Main St,Caribou,ME,04736,(207) 496-3031,Legal
Mike's Family Market,5 Main St,Limestone,ME,04750,(207) 325-4767,Grocery
Cote Auto Repair Inc.,493 Access Hwy,Limestone,ME,04750,(207) 325-4757,Auto Repair
Home Town Fuels,13 Access Hwy,Limestone,ME,04750,,Fuel & Heating
Rendezvous Restaurant,Eastgate Rd / Mountain View Dr,Limestone,ME,04750,(207) 328-7211,Restaurant
Caldwell Auto Parts & Towing,72 Long Rd,Limestone,ME,04750,(207) 325-8802,Auto Parts
Talk of the Town Hair Salon,6 Main St #2,Limestone,ME,04750,(207) 325-3440,Hair Salon
Boulevard Graphix,22 Main St,Limestone,ME,04750,(207) 325-2583,Custom Design
White As Snow Laundromat,30 Main St,Limestone,ME,04750,,Laundromat
Eagles Redemption Center,30 Main St,Limestone,ME,04750,,Redemption Center
Limestone Pack & Ship,30 Main St,Limestone,ME,04750,,Shipping
Manaus Books & Coffee Shop,30 Main St,Limestone,ME,04750,(207) 325-6146,Coffee Shop
Grammie's Treasures,14 Main St,Limestone,ME,04750,(207) 325-4965,Gift Shop
Trombley Industries,849 Access Hwy,Limestone,ME,04750,(207) 328-4503,Construction
Pines Health Services - Loring Health Center,238 Main St,Limestone,ME,04750,(207) 328-4631,Healthcare
Loring Development Authority,154 Development Rd Suite F,Limestone,ME,04750,(207) 328-7005,Government
Loring Job Corps Center,36 Montana Rd,Limestone,ME,04750,(207) 328-4212,Education
DFAS,27 Arkansas Rd,Limestone,ME,04750,(866) 724-0526,Government
Aroostook National Wildlife Refuge,27 Arkansas Rd,Limestone,ME,04750,(866) 724-0526,Government
Dollar General,87 Access Hwy,Limestone,ME,04750,(207) 543-4583,Retail
Limestone Town Office,93 Main St,Limestone,ME,04750,(207) 325-4704,Government
US Post Office - Limestone,29 Main St,Limestone,ME,04750,,Government
Robert A. Frost Memorial Library,42 Main St,Limestone,ME,04750,(207) 325-4706,Library
Limestone Community School,93 High St,Limestone,ME,04750,(207) 325-4700,School
Maine School of Science and Mathematics,95 High St,Limestone,ME,04750,(207) 325-3303,School
Katahdin Trust Co.,35 Main St,Limestone,ME,04750,(207) 325-4711,Bank
St. Louis Church,106 Main St,Limestone,ME,04750,,Church
Limestone Country Club,487 West Gate Rd,Limestone,ME,04750,(207) 325-6158,Golf
The Bunker Inn,17 Virginia Pl,Limestone,ME,04750,(207) 325-6072,Lodging
SFE Manufacturing Inc.,14 Connecticut Rd,Limestone,ME,04750,(207) 496-9662,Manufacturing
New England Kenworth,14 Colorado Rd,Limestone,ME,04750,(207) 328-4600,Truck Sales
TRP Limestone,14 Colorado Rd,Limestone,ME,04750,(207) 328-4600,Truck Parts
Loring Utilities Office,93 Main St,Limestone,ME,04750,(207) 328-4119,Utilities
T and A Variety,166 Main St,Limestone,ME,04750,,Retail
Northern Maine Paving Inc.,,Limestone,ME,04750,,Contractor
Loring Commerce Centre,27 Arkansas Rd,Limestone,ME,04750,,Business Park
Caribou Sub Shop,264 Sweden St,Caribou,ME,04736,(207) 498-6021,Restaurant
Old Iron Inn Bed & Breakfast,155 High St,Caribou,ME,04736,(207) 492-4766,Lodging
The Pet Vet,187 Bailey Rd,Caribou,ME,04736,(207) 498-2930,Veterinary
Frontier Pharmacy,153 Bennett Dr,Caribou,ME,04736,(207) 493-7771,Pharmacy
Greenhouse Restaurant,19 Main St,Caribou,ME,04736,(207) 498-3733,Restaurant
