Business Name,Street Address,City,State,Zip,Phone,Email,Website,Category,Town,SuitableForAds
#9 Lake Outfitters,174 Boundary Line Rd,Bridgewater,ME,04735,(207) 429-9632,email@9lakeoutfitters.com,https://maineguides.com/registered-guide/9-lake-outfitters/,Outfitter/Lodging,Bridgewater,Yes
A&T Investments,733 Main Rd,Bridgewater,ME,04735,(207) 425-2545,,,Investments,Bridgewater,Yes
Advantage Thermal,140 Bootfoot Rd,Bridgewater,ME,04735,(207) 907-0522,,,Insulation Contractor,Bridgewater,Yes
Aroostook Pentecostal Campground,790 US Hwy 1,Bridgewater,ME,04735,(207) 429-9731,,,Campground,Bridgewater,No
Backridge Auto and Truck Repair,114 Bootfoot Rd,Bridgewater,ME,04735,(207) 532-3369,,,Auto/Truck Repair,Bridgewater,No
Boyd's Repair,Boundary Line Rd,Bridgewater,ME,04735,(207) 429-8216,,,Farm Equipment Repair,Bridgewater,No
Bradbury Barrel Company,479 US Hwy 1 / 100 Main Rd,Bridgewater,ME,04735,(207) 429-8141,info@bradburybarrel.com,https://www.bradburybarrel.com,Barrel Manufacturing,Bridgewater,No
Bradbury Maple Farms,202 Bootfoot Rd,Bridgewater,ME,04735,(207) 551-5227,,https://umaine.edu/undiscoveredmaine/destinations/shops-services/maple-syrup-shops/,Maple Syrup,Bridgewater,No
Bradstreet Family Farm,667 Main Rd,Bridgewater,ME,04735,(207) 429-8538,,https://www.farmranch.org/company-bradstreet-family-farm-in-bridgewater-me-18942,Potato Farm,Bridgewater,No
Circle K,27 Main Rd (US Hwy 1),Bridgewater,ME,04735,(207) 425-2968,,https://www.circlek.com,Convenience Store/Gas,Bridgewater,Yes
DeLong Builders,104 Bootfoot Rd,Bridgewater,ME,04735,(207) 429-9223,,,Construction,Bridgewater,No
Halls New and Used,94 Packard Rd,Bridgewater,ME,04735,(207) 429-8500,,,Used Goods,Bridgewater,Yes
Hidden Meadow Farm,225 Montieth Rd,Bridgewater,ME,04735,(207) 425-4050,,https://umaine.edu/undiscoveredmaine/destinations/shops-services/agricultural-stores-farms/,Farm,Bridgewater,No
Icelandics North,536 US Hwy 1,Bridgewater,ME,04735,(207) 425-7113,,,Icelandic Horse Farm,Bridgewater,No
J & J Cedar Mill,152 Bootfoot Rd / West Rd,Bridgewater,ME,04735,(207) 425-7710,info@jjcedarmill.com,https://www.jjcedarmill.com,Sawmill,Bridgewater,No
RH Foster (Foster's Bridgewater),733 Main Rd,Bridgewater,ME,04735,(207) 425-2740,,https://www.rhfoster.com,Fuel/Energy,Bridgewater,No
Ragtime Designs,76 Montieth Rd,Bridgewater,ME,04735,(207) 425-4100,,,Design/Crafts,Bridgewater,Yes
Shaw's Oil,304 Corner Rd,Bridgewater,ME,04735,(207) 429-8888,,,Fuel/Heating Oil,Bridgewater,No
Smoldering Lake Outfitters,129 Snow Rd,Bridgewater,ME,04735,(207) 429-0910,,https://visitmaine.com/organization/smoldering-lake-outfitters/6913/,Outfitter,Bridgewater,Yes
The Cooperage,730 US Hwy 1,Bridgewater,ME,04735,(207) 425-4269,,https://umaine.edu/undiscoveredmaine/destinations/dining/ice-cream-dairy-bar/,Gift Shop/Crafts,Bridgewater,Yes
The Corner Store,Corner Rd,Bridgewater,ME,04735,(207) 429-8536,,,Convenience Store/Pizza,Bridgewater,Yes
Whited Bible Camp,790 US-1,Bridgewater,ME,04735,(207) 429-9731,,,Campground,Bridgewater,No
Wood Prairie Farm,49 Kinney Rd,Bridgewater,ME,04735,(207) 425-7741,,https://umaine.edu/undiscoveredmaine/aroostook-county-maine/central-aroostook/bridgewater/,Organic Farm,Bridgewater,No
Dyer Brook Union Church,6 Dyer Brook Rd,Dyer Brook,ME,04747,(207) 528-2912,,,Religion,Dyer Brook,Yes
Midnight Auto Repair,56 Keith Brook Rd,Dyer Brook,ME,04747,(207) 757-8726,,,Auto Repair,Dyer Brook,No
Anderson's Mill Pond Dairy Bar,226 Hodgdon Mills Rd,Hodgdon,ME,04730,(207) 532-9891,,,Ice Cream,Hodgdon,Yes
Benn Auto Sales Inc,485 US Hwy 1,Hodgdon,ME,04730,(207) 532-3540,,https://auto-parts-stores.cmac.ws/benn-auto-sales-inc/73786/,Auto Sales,Hodgdon,Yes
Crown of Maine Taxidermy,1052 US Hwy 1,Hodgdon,ME,04730,(207) 521-1534,,https://www.crownofmainetaxidermy.com/contact,Taxidermy,Hodgdon,Yes
Forticor Farms,82 Benn Hill Rd,Hodgdon,ME,04730,(207) 532-9696,info@forticorfarms.com,https://umaine.edu/undiscoveredmaine/aroostook-county-maine/southern-aroostook/hodgdon/,Farm,Hodgdon,No
Hidden Spring Winery,1057 White Settlement Rd,Hodgdon,ME,04730,(207) 532-0753,hiddenspring@mail.com,http://mainebeertastingrooms.com/regions/aroostookcounty/hidden-spring-winery/,Winery,Hodgdon,Yes
Hodgdon United Methodist Church,US-1,Hodgdon,ME,04730,(207) 532-2698,,,Religion,Hodgdon,Yes
New Life Assembly of God,39 Hodgdon Mills Rd,Hodgdon,ME,04730,(207) 532-2318,,,Religion,Hodgdon,Yes
Pleasant View Tree Farm,1190 Calais Rd,Hodgdon,ME,04730,(207) 532-4769,robertmulvey@ainop.com,https://www.pleasantviewtreefarm.com,Tree Farm,Hodgdon,No
Seiders Hill-Top Lanes,61 Calais Rd,Hodgdon,ME,04730,(207) 254-2133,,https://www.seiderssportinggoods.com/,Bowling,Hodgdon,Yes
Seiders Variety & Redemption Center,53 Old Calais Rd,Hodgdon,ME,04730,(207) 532-3301,,https://www.seiderssportinggoods.com/,Convenience Store,Hodgdon,Yes
T & S Market,209 Hodgdon Mills Rd,Hodgdon,ME,04730,(207) 532-6672,,,Convenience Store/Grocery,Hodgdon,Yes
Treeland Farm,335 Calais Rd,Hodgdon,ME,04730,(207) 532-2018,,,Farm,Hodgdon,No
Wynes Trailside Popcorn,126 London Rd,Hodgdon,ME,04730,(207) 521-1339,,https://umaine.edu/undiscoveredmaine/destinations/shops-services/specialty-food-stores/,Specialty Food,Hodgdon,Yes
207 Collectibles,17 Court St,Houlton,ME,04730,(207) 813-0029,,,Collectibles,Houlton,Yes
38's Auto Service,54 North St,Houlton,ME,04730,(207) 532-2424,,,Auto Service,Houlton,No
ACAP (Aroostook County Action Program),28 Court St,Houlton,ME,04730,(207) 532-4216,info@acap-me.org,https://www.acap-me.org,Social Services,Houlton,Yes
Adalia North Hair Salon,300 North St,Houlton,ME,04730,(207) 254-2241,,https://umaine.edu/undiscoveredmaine/aroostook-county-maine/southern-aroostook/houlton/houlton-shops-and-services/,Hair Salon,Houlton,Yes
Advance Auto Parts,41 Bangor St,Houlton,ME,04730,(207) 532-1111,,https://www.advanceautoparts.com,Auto Parts,Houlton,Yes
Albert Fitzpatrick Trucking,3 Sugarloaf St,Houlton,ME,04730,(207) 532-6714,,,Trucking,Houlton,No
Amity Baptist Church,62 Pearce Ave,Houlton,ME,04730,(207) 532-0523,,,Religion,Houlton,Yes
Anciently Marked Tattoo Art Studio,13 Court St,Houlton,ME,04730,,,,Tattoo Shop,Houlton,Yes
Andy's IGA Foodliner,132 North St,Houlton,ME,04730,(207) 532-3305,,,Grocery Store,Houlton,Yes
Aroostook Auto Tech,13 Mechanic St,Houlton,ME,04730,(207) 532-2173,aag@gwi.net,,Auto Repair,Houlton,No
Aroostook Milling Co. Inc.,15 Hillview Ave,Houlton,ME,04730,(207) 532-6130,,,Agricultural Supply/Mill,Houlton,Yes
Aroostook Produce Dist.,3 Bangor St,Houlton,ME,04730,(207) 532-6886,,,Produce Distribution,Houlton,Yes
Bam Truck Brokerage,454 North St,Houlton,ME,04730,(207) 532-4188,,,Truck Brokerage,Houlton,No
Bangor Savings Bank,12 Main St,Houlton,ME,04730,(207) 532-2203,bangorsupport@bangor.com,https://www.bangor.com,Bank/Finance,Houlton,Yes
Bates Fuel,207 Bangor St,Houlton,ME,04730,(207) 532-3520,,,Fuel/Heating Oil,Houlton,No
Betty Marie's Sweet Shop,66 Main St,Houlton,ME,04730,(207) 521-5260,,,Candy Store,Houlton,Yes
Bittersweet Thyme,Main St,Houlton,ME,04730,,bsweetthyme5@gmail.com,,Home Decor,Houlton,Yes
Bittersweet Thyme Cafe,Main St,Houlton,ME,04730,,,,Coffee Shop,Houlton,Yes
Brass Anchor Barbershop,8 Court St,Houlton,ME,04730,(207) 538-8197,,,Barbershop,Houlton,Yes
Buildings Etc.,45 North St,Houlton,ME,04730,(207) 538-9000,,,Building Materials,Houlton,Yes
Burger King,118 North St,Houlton,ME,04730,(207) 532-9468,,https://www.bk.com,Restaurant,Houlton,Yes
Cary Library,107 Main St,Houlton,ME,04730,(207) 532-1302,cary@cary.lib.me.us,https://cary.lib.me.us,Library,Houlton,Yes
Chadwick Florist & Greenhouses,23 Spring St,Houlton,ME,04730,(207) 532-3520,,https://mechadwickflorist.com,Florist/Greenhouse,Houlton,Yes
Church of Christ,140 Main St,Houlton,ME,04730,(207) 532-3730,,,Religion,Houlton,Yes
Church of the Nazarene,11 Hogan St,Houlton,ME,04730,(207) 532-2471,,,Religion,Houlton,Yes
Cigaret Shopper,64 North St,Houlton,ME,04730,(207) 532-3225,,,Tobacco Shop,Houlton,Yes
Circle K,3 Military St,Houlton,ME,04730,(207) 532-3131,,https://circlek.com,Convenience Store/Gas,Houlton,Yes
