Business Name,Street Address,City,State,Zip,Phone,Email,Website,Category,Town,SuitableForAds
Ashley Cunningham & Co Furniture,344 Long Ridge Rd,Burlington,ME,04417,(207) 794-3091,,,Furniture,Burlington,Yes
Banks Electric,25 Church Hill Rd,Burlington,ME,04417,(207) 732-5619,,,Electrical Contractor,Burlington,Yes
Burlington Baptist Church,18 Church Hill Rd,Burlington,ME,04417,(207) 732-3778,,,Religion,Burlington,Yes
Burlington General Store,37 Main Rd,Burlington,ME,04417,(207) 732-4259,,,General Store,Burlington,Yes
DuBois Lawn & Landscape,153 James Jipson Rd,Burlington,ME,04417,(501) 538-3788,,,Landscaping,Burlington,No
J M Kilby Engineering,35 Moores Rd,Burlington,ME,04417,(207) 732-5404,,,Engineering,Burlington,No
Maine Gas Refrigerators,277 Sibley Rd,Burlington,ME,04417,(207) 732-4119,,,Appliances,Burlington,Yes
Chester Baptist Church,2 S Chester Rd,Chester,ME,04457,(207) 746-3650,,,Religion,Chester,Yes
Chester Forest Products,Route 116,Chester,ME,04457,(207) 794-3047,,,Forestry,Chester,No
Furever Friends Doggie Daycare,3 Mattamiscontis Rd,Chester,ME,04457,(207) 290-7756,,,Pet Services,Chester,Yes
The Maine Land Store / Treeline,35 Access Rd,Chester,ME,04457,(207) 794-2044,,,Real Estate/Land Sales,Chester,Yes
Barnes Brook Golf Course,1886 Main Rd,Enfield,ME,04493,(207) 732-3006,,https://barnesbrookgolf.com,Golf Course,Enfield,Yes
C&I Custom Builders,27 Lincoln Rd,Enfield,ME,04493,(207) 732-3792,,,Construction,Enfield,No
Chip's Citgo,1188 Main Rd,Enfield,ME,04493,(207) 732-5434,,,Gas Station/Convenience,Enfield,Yes
Cold Stream Lumber,70 W Boundry Rd,Enfield,ME,04493,(207) 732-4020,,,Lumber,Enfield,No
Dollar General,10 Hammett Rd,Enfield,ME,04493,(207) 732-1902,,https://dollargeneral.com,Discount Store,Enfield,Yes
Enfield Baptist Church,7 Lincoln Rd,Enfield,ME,04493,(207) 732-4200,,,Religion,Enfield,Yes
Enfield General Store,1238 Main Rd,Enfield,ME,04493,(207) 732-4600,,,General Store,Enfield,Yes
Hammond Lumber Company,7 Industrial Dr,Enfield,ME,04493,(207) 732-3351,,https://hammondlumber.com,Building Materials,Enfield,Yes
Montague Public House,76 Bridge St,Enfield,ME,04493,(207) 732-4943,,,Restaurant/Bar,Enfield,No
Northwoods Sporting Journal,15 Birch St,Enfield,ME,04493,(207) 732-4880,,,Magazine/Publishing,Enfield,Yes
Pelletiers Greenhouse,50 Greenhouse Rd,Enfield,ME,04493,(207) 732-3907,,,Greenhouse/Nursery,Enfield,Yes
Penobscot County Federal Credit Union,325 Main Rd,Enfield,ME,04493,(207) 732-4560,,,Credit Union,Enfield,Yes
Penobscot River Realty,45 Hammett Rd,Enfield,ME,04493,(207) 732-5385,,,Real Estate,Enfield,Yes
Pine Tree Pet Supply,10 Old County Rd N,Enfield,ME,04493,(207) 732-5374,,,Pet Supply,Enfield,Yes
