Business Name,Street Address,City,State,Zip,Phone,Email,Website,Category,Town,SuitableForAds
Calvary Temple Assembly of God,2 Orchard St,East Millinocket,ME,04430,(207) 746-5274,,,Religion,East Millinocket,Yes
Crandall's Hardware,8 Main St,East Millinocket,ME,04430,(207) 746-5722,info@crandallshardware.com,https://crandallshardware.com,Hardware,East Millinocket,Yes
Davis Pharmacy,59 Main St,East Millinocket,ME,04430,(207) 746-3721,,,Pharmacy,East Millinocket,Yes
Eastmill Federal Credit Union,60 Main St,East Millinocket,ME,04430,(207) 746-3428,info@eastmillfcu.org,https://eastmillfcu.org,Credit Union,East Millinocket,Yes
Ellis Family Market,6 Main St,East Millinocket,ME,04430,(207) 746-5019,peter.ellis@hannaford.com,https://www.ellisfamilymarket.com/,Grocery,East Millinocket,Yes
Family Dollar,117 Main St,East Millinocket,ME,04430,(207) 447-3025,,https://familydollar.com,Discount Store,East Millinocket,Yes
First Baptist Church,2 Oak St,East Millinocket,ME,04430,(207) 746-5185,,,Religion,East Millinocket,Yes
First Congregational Church (East Millinocket),11 Maple St,East Millinocket,ME,04430,(207) 746-5575,,,Religion,East Millinocket,Yes
Forget Me Not Shoppe,117 Main St,East Millinocket,ME,04430,(207) 746-9250,,,Florist/Gifts,East Millinocket,Yes
Gail's Gentle Grooming,73 Main St,East Millinocket,ME,04430,(207) 746-0062,,,Pet Grooming,East Millinocket,Yes
Hamlet Pub,63 Main St A,East Millinocket,ME,04430,(207) 746-5200,,https://hamletpub.com,Restaurant/Bar,East Millinocket,No
Living Hope Church of the Nazarene,1 Palm St,East Millinocket,ME,04430,(207) 746-3760,,,Religion,East Millinocket,Yes
Main Street Floral & Gift Shop,67 Main St,East Millinocket,ME,04430,(207) 746-0044,,,Florist/Gifts,East Millinocket,Yes
NAPA Auto Parts,119 Main St,East Millinocket,ME,04430,(207) 746-5204,,https://napaonline.com,Auto Parts,East Millinocket,Yes
