Business Name,Street Address,City,State,Zip,Phone,Email,Website,Category,Town,SuitableForAds
Apostolic Church in Jesus Name,697 Masardis Rd,Ashland,ME,04732,(207) 764-4207,,https://malls.fandom.com/wiki/Wendy's/Locations,Religion,Ashland,Yes
Aroostook Valley Health Center,33 Walker St,Ashland,ME,04732,(207) 435-6341,program.intake@usda.gov,https://kvhc.org,Healthcare,Ashland,Yes
Art's Appliance & Furniture,21 Main St A,Ashland,ME,04732,(207) 435-4151,customerservice@furniture.com,https://www.furniture.com/stores/maine/ashland,Appliance/Furniture,Ashland,Yes
Ashland 1-Stop (Citgo),117 Main St,Ashland,ME,04732,(207) 435-2202,,https://umaine.edu/undiscoveredmaine/aroostook-county-maine/central-aroostook/ashland/,Gas Station,Ashland,Yes
Ashland Advent Christian Church,42 Exchange St,Ashland,ME,04732,(207) 435-6669,county_boy87@hotmail.com,https://www.telephonedirectories.us/WhitePages/Ashland-ME,Religion,Ashland,Yes
Ashland Building Supply,25 Sheridan Rd,Ashland,ME,04732,(207) 435-6386,,https://en.wikipedia.org/wiki/Area_code_207,Building Supply,Ashland,Yes
Ashland Community Center,66 Station St,Ashland,ME,04732,(207) 435-6893,info@skatingfitness.com,https://townofashland.org,Community Center,Ashland,Yes
Ashland Community Library,57 Exchange St,Ashland,ME,04732,(207) 435-6532,library@townofashland.org,https://townofashland.org,Library,Ashland,Yes
Ashland Drug Store,73 Presque Isle Rd,Ashland,ME,04732,(207) 435-6200,,https://citydrugrx.com,Pharmacy,Ashland,Yes
Ashland Family Pharmacy,58 Main St,Ashland,ME,04732,(207) 435-6200,,https://citydrugrx.com,Pharmacy,Ashland,Yes
Ashland Food Mart,256 Presque Isle Rd,Ashland,ME,04732,(207) 435-6451,,https://ashlandfood.com,Convenience Store,Ashland,Yes
Ashland Health Center,60 Main St,Ashland,ME,04732,(207) 435-6341,program.intake@usda.gov,https://kvhc.org,Healthcare,Ashland,Yes
Ashland Historical Society,52 Main St,Ashland,ME,04732,(207) 435-6532,,https://townofashland.org,Historical Society,Ashland,Yes
Ashland Recreation,64 Station St,Ashland,ME,04732,(207) 762-1882,macie.elwell@townofashland.org,https://townofashland.org,Recreation,Ashland,Yes
Ashland Schools,68 Station St,Ashland,ME,04732,(207) 435-3481,,https://sad32.org,School District,Ashland,No
Ashland Town Office,62 Station St,Ashland,ME,04732,(207) 435-3211,townmanager@townofashland.org,https://townofashland.org,Government,Ashland,No
Ashland Union Congregational Church (UCC),48 Sheridan Rd,Ashland,ME,04732,(207) 435-6752,,https://www.2findlocal.com/l/n1t1031-ashland-me,Religion,Ashland,Yes
Ashland's Diner,11 Exchange St,Ashland,ME,04732,(207) 435-8240,,https://www.phonelookup.com/ME/ashland,Restaurant,Ashland,No
Burby Repair LLC,54 Main St,Ashland,ME,04732,(207) 435-9010,,https://www.adsinterlock.com/locations/me/ashland/54-main-st,Auto Repair,Ashland,No
CARQUEST Auto Parts,11 Main St,Ashland,ME,04732,(207) 435-6940,,https://carquest.com,Auto Parts,Ashland,Yes
Daigle Oil Co,67 Main St,Ashland,ME,04732,(207) 435-8251,,https://daigleoil.com,Fuel,Ashland,No
Family Dollar,211 Presque Isle Rd,Ashland,ME,04732,(207) 544-7813,,https://familydollar.com,Discount Store,Ashland,Yes
Freem's Bar And Grill,Main St,Ashland,ME,04732,(207) 435-7113,,https://restaurantguru.com/Freems-Ashland-Maine,Bar & Grill,Ashland,No
Gateway Trading Post Inc,111 Garfield Rd,Ashland,ME,04732,(207) 435-6890,,https://www.maine.gov/ifw/hunting-trapping/hunting/registration-stations/tagging-stations.html,General Store,Ashland,Yes
Katahdin Trust Company,17 Main St,Ashland,ME,04732,(207) 435-6461,customerservice@katahdintrust.com,https://katahdintrust.com,Bank,Ashland,Yes
Northeast Pellets,53 Realty Rd,Ashland,ME,04732,(207) 435-6230,northeastpellets@aol.com,https://northeastpellets.net,Fuel,Ashland,No
Northwoods Diner / Old Post Cafe,101 Main St,Ashland,ME,04732,(207) 435-2902,,https://www.telephonedirectories.us/WhitePages/Ashland-ME,Restaurant,Ashland,No
Old Post Cafe,101 Main St,Ashland,ME,04732,(207) 435-2902,,https://www.usphonebook.com/norman-willette/UgjNwcjM4cjMygzN5UDM0MTNyMzR,Restaurant,Ashland,No
Prentiss & Carlisle,266 Masardis Rd,Ashland,ME,04732,(207) 435-6249,,https://prentissandcarlisle.com,Forestry Management,Ashland,No
Qwik Stop II,5 Clark Siding Rd,Ashland,ME,04732,(207) 435-6595,,https://umaine.edu/undiscoveredmaine/aroostook-county-maine/central-aroostook/ashland/,Convenience Store,Ashland,Yes
St. Mark Catholic Church,Allen Farm Rd,Ashland,ME,04732,(207) 435-6669,,https://masstime.us/st-mark-catholic-church-ashland-maine/,Religion,Ashland,Yes
Stimson-Ouellette Funeral Home,114 Exchange St,Ashland,ME,04732,(207) 435-6030,,https://ouellettefuneralhome.com,Funeral Home,Ashland,Yes
USPS Ashland Post Office,14 Sheridan Rd,Ashland,ME,04732,(207) 435-3321,,https://usps.com,Post Office,Ashland,Yes
AIM Recycling Caribou,208 Limestone St,Caribou,ME,04736,(207) 492-1182,,https://scrapyardfinder.com/aim-recycling-caribou/,Recycling Center,Caribou,No
Advance Auto Parts,3 Armco Ave,Caribou,ME,04736,(207) 492-0027,,https://advanceautoparts.com,Auto Parts,Caribou,Yes
Affordable Finds,82 Herschel St,Caribou,ME,04736,(207) 492-9555,,https://www.tiktok.com/discover/dollar-general-caribou-maine,Thrift Shop,Caribou,Yes
Aroostook Savings & Loan,43 High St,Caribou,ME,04736,(207) 498-8726,customerservice@yourhomebank.com,https://yourhomebank.com,Bank,Caribou,Yes
Beaulieu's Garage & Body Shop,490 Main St,Caribou,ME,04736,(207) 492-2471,,https://beaulieusgarageandbodyshop.com,Auto Repair,Caribou,No
Bernard-Coury Realty,128 High St,Caribou,ME,04736,(207) 492-4571,,https://www.telephonedirectories.us/Business/Real_Estate/ME,Real Estate,Caribou,Yes
Best Western Caribou Inn,19 Main St,Caribou,ME,04736,(207) 498-3733,info@caribouinn.com,https://bestwestern.com,Hotel,Caribou,Yes
Big Cheese Pizza,556 Main St,Caribou,ME,04736,(207) 493-3030,,https://bcpizza.wixsite.com/bigcheesepizza,Restaurant,Caribou,No
Brambleberry Market,25 Sweden St,Caribou,ME,04736,(207) 498-8000,,https://umaine.edu/undiscoveredmaine/aroostook-county-maine/central-aroostook/welcome-to-caribou/caribou-shops-services/,Gift Shop,Caribou,Yes
Burger Boy,234 Sweden St,Caribou,ME,04736,(207) 498-3139,,https://burger-boy.com,Restaurant,Caribou,No
Burger King,162 Bennett Dr,Caribou,ME,04736,(207) 498-3500,,https://bk.com,Restaurant,Caribou,Yes
CARQUEST Auto Parts,3 Armco Ave,Caribou,ME,04736,(207) 498-6573,,https://carquest.com,Auto Parts,Caribou,Yes
CITGO,89 Bennett Dr,Caribou,ME,04736,(207) 498-2417,,https://citgo.com,Gas Station,Caribou,Yes
Calvary Baptist Church,46 Access Hwy,Caribou,ME,04736,(207) 493-6608,info@maineneeds.org,http://www.cariboucalvary.org/,Religion,Caribou,Yes
Caribou Area Chamber of Commerce,657 Main St,Caribou,ME,04736,(207) 498-6156,ccac@cariboumaine.net,https://centralaroostookchamber.com,Chamber,Caribou,Yes
Caribou Assembly of God,116 Sweden St,Caribou,ME,04736,(207) 498-3634,,https://www.joinmychurch.com/churches/Caribou-Assembly-of-God-Caribou-Maine-United-States/114259,Religion,Caribou,Yes
Caribou Automotive Repair Services,13 Laurette St,Caribou,ME,04736,(207) 498-4141,,https://usa-services.worldorgs.com/catalog/caribou/auto-repair/caribou-automotive-repair-services,Auto Repair,Caribou,No
Caribou Bowl-A-Drome,97 Bennett Dr,Caribou,ME,04736,(207) 498-3386,,https://umaine.edu/undiscoveredmaine/aroostook-county-maine/central-aroostook/welcome-to-caribou/caribou-dining/,Restaurant & Bowling,Caribou,No
Caribou Church of Christ,9 Laurette Cir,Caribou,ME,04736,(207) 496-5361,,https://churchofchristlist.org/church/caribou-church-of-christ-caribou-me/,Religion,Caribou,Yes
Caribou Country Club,117 Country Club Dr,Caribou,ME,04736,(207) 498-2561,proshop@caribougolf.com,https://caribougolf.com,Golf Course,Caribou,Yes
Caribou Dental,167 Van Buren Rd,Caribou,ME,04736,(207) 498-2531,,https://www.processingbordeaux.org/207a/498p2,Dentist,Caribou,Yes
Caribou Eye Care P.A.,43 Hatch Dr Suite 150,Caribou,ME,04736,(207) 498-2538,jillian@cariboueyecare.com,https://cariboueyecare.com,Optometry,Caribou,Yes
Caribou Family Medicine,161 Van Buren Rd,Caribou,ME,04736,(207) 498-3141,,https://northernlighthealth.org,Healthcare,Caribou,Yes
Caribou Fire Department,25 High St,Caribou,ME,04736,(207) 493-4261,firechief@cariboumaine.org,https://cariboumaine.org,Fire Department,Caribou,No
Caribou Florist & Greenhouse,137 Sweden St,Caribou,ME,04736,(207) 498-2296,noyesflowers@gmail.com,https://noyesflowers.square.site,Florist,Caribou,Yes
Caribou Ford Lincoln,169 Bennett Dr,Caribou,ME,04736,(207) 498-3100,s.bradley@griffethford.com,https://griffethford.com,Auto Dealer,Caribou,Yes
